Trial_ID,Batch_ID,Stimulus_Level,Type_Stimulus,Prior_Duration,Stimulus_Duration,Post_Duration,Transducer_factor,Basal_pressure,Genotype,Category_stimulus ,Type_Experiment,Bin_size,Frame_rate,Pxmm,Particles_Counted,Fraction_increase
011020_E001T_10,011020_B001,17.5,Pressure,10,60,60,0.125,0,WT,17.5,Step,10,10,742.667-80,NO,1.75
011020_E001T_11,011020_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,NO,1.25
011020_E001T_12,011020_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,NO,13.75
011020_E001T_13,011020_B001,47.5,Pressure,10,60,60,0.125,0,WT,47.5,Step,10,10,742.667-80,NO,4.75
011020_E001T_14,011020_B001,95,Pressure,10,60,60,0.25,0,WT,95,Step,10,10,742.667-80,NO,9.5
011020_E001T_15,011020_B001,75,Pressure,10,60,60,0.25,0,WT,75,Step,10,10,742.667-80,NO,7.5
011020_E001T_16,011020_B001,55,Pressure,10,60,60,0.25,0,WT,55,Step,10,10,742.667-80,NO,5.5
011020_E001T_17,011020_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO,0.3125
011020_E001T_18-2,011020_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,NO,6.5
011020_E001T_19,011020_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO,23.75
011020_E001T_2,011020_B001,27.5,Pressure,10,60,60,0.125,0,WT,27.5,Step,10,10,742.667-80,NO,2.75
011020_E001T_20,011020_B001,187.5,Pressure,10,60,60,0.625,0,WT,187.5,Step,10,10,742.667-80,NO,18.75
011020_E001T_3,011020_B001,7.5,Pressure,10,60,60,0.125,0,WT,7.5,Step,10,10,742.667-80,NO,0.75
011020_E001T_4,011020_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO,3.25
011020_E001T_5,011020_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,NO,2.25
011020_E001T_6,011020_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO,8.5
011020_E001T_7,011020_B001,37.5,Pressure,10,60,60,0.125,0,WT,37.5,Step,10,10,742.667-80,NO,3.75
021020_E001T_1-2,021020_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO,0.3125
021020_E001T_10,021020_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO,3.25
021020_E001T_11,021020_B001,75,Pressure,10,60,60,0.25,0,WT,75,Step,10,10,742.667-80,NO,7.5
021020_E001T_12,021020_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,NO,2.25
021020_E001T_13,021020_B001,17.5,Pressure,10,60,60,0.125,0,WT,17.5,Step,10,10,742.667-80,NO,1.75
021020_E001T_14,021020_B001,212.5,Pressure,10,60,60,0.625,0,WT,212.5,Step,10,10,742.667-80,NO,21.25
021020_E001T_15,021020_B001,37.5,Pressure,10,60,60,0.125,0,WT,37.5,Step,10,10,742.667-80,NO,3.75
021020_E001T_16,021020_B001,27.5,Pressure,10,60,60,0.125,0,WT,27.5,Step,10,10,742.667-80,NO,2.75
021020_E001T_17,021020_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,NO,1.25
021020_E001T_18,021020_B001,162.5,Pressure,10,60,60,0.625,0,WT,162.5,Step,10,10,742.667-80,NO,16.25
021020_E001T_19,021020_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,NO,13.75
021020_E001T_2,021020_B001,7.5,Pressure,10,60,60,0.125,0,WT,7.5,Step,10,10,742.667-80,NO,0.75
021020_E001T_20,021020_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO,23.75
021020_E001T_3-2,021020_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,NO,4.25
021020_E001T_4-2,021020_B001,95,Pressure,10,60,60,0.25,0,WT,95,Step,10,10,742.667-80,NO,9.5
021020_E001T_5,021020_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,NO,6.5
021020_E001T_6,021020_B001,47.5,Pressure,10,60,60,0.125,0,WT,47.5,Step,10,10,742.667-80,NO,4.75
021020_E001T_7,021020_B001,187.5,Pressure,10,60,60,0.625,0,WT,187.5,Step,10,10,742.667-80,NO,18.75
021020_E001T_8,021020_B001,55,Pressure,10,60,60,0.25,0,WT,55,Step,10,10,742.667-80,NO,5.5
021020_E001T_9,021020_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO,8.5
031020_E001T_1-2,031020_B001,37.5,Pressure,10,60,60,0.125,0,WT,37.5,Step,10,10,742.667-80,NO,3.75
031020_E001T_10,031020_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,NO,4.25
031020_E001T_11,031020_B001,7.5,Pressure,10,60,60,0.125,0,WT,7.5,Step,10,10,742.667-80,NO,0.75
031020_E001T_12,031020_B001,55,Pressure,10,60,60,0.25,0,WT,55,Step,10,10,742.667-80,NO,5.5
031020_E001T_13,031020_B001,47.5,Pressure,10,60,60,0.125,0,WT,47.5,Step,10,10,742.667-80,NO,4.75
031020_E001T_14,031020_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,NO,1.25
031020_E001T_15,031020_B001,95,Pressure,10,60,60,0.25,0,WT,95,Step,10,10,742.667-80,NO,9.5
031020_E001T_16,031020_B001,187.5,Pressure,10,60,60,0.625,0,WT,187.5,Step,10,10,742.667-80,NO,18.75
031020_E001T_17,031020_B001,162.5,Pressure,10,60,60,0.625,0,WT,162.5,Step,10,10,742.667-80,NO,16.25
031020_E001T_18,031020_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,NO,2.25
031020_E001T_19,031020_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,NO,13.75
031020_E001T_20,031020_B001,75,Pressure,10,60,60,0.25,0,WT,75,Step,10,10,742.667-80,NO,7.5
031020_E001T_21-2,031020_B001,27.5,Pressure,10,60,60,0.125,0,WT,27.5,Step,10,10,742.667-80,NO,2.75
031020_E001T_3,031020_B001,212.5,Pressure,10,60,60,0.625,0,WT,212.5,Step,10,10,742.667-80,NO,21.25
031020_E001T_4,031020_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO,0.3125
031020_E001T_5,031020_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO,3.25
031020_E001T_6,031020_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,NO,6.5
031020_E001T_7,031020_B001,17.5,Pressure,10,60,60,0.125,0,WT,17.5,Step,10,10,742.667-80,NO,1.75
031020_E001T_8,031020_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO,23.75
031020_E001T_9,031020_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO,8.5
081020_E001T_1.txt,081020_B001,7.5,Pressure,10,60,60,0.125,0,WT,7.5,Step,10,10,742.667-80,NO,0.75
081020_E001T_10.txt,081020_B001,187.5,Pressure,10,60,60,0.625,0,WT,187.5,Step,10,10,742.667-80,NO,18.75
081020_E001T_11-2.txt,081020_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,NO,1.25
081020_E001T_12.txt,081020_B001,17.5,Pressure,10,60,60,0.125,0,WT,17.5,Step,10,10,742.667-80,NO,1.75
081020_E001T_13-3.txt,081020_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO,3.25
081020_E001T_14.txt,081020_B001,162.5,Pressure,10,60,60,0.625,0,WT,162.5,Step,10,10,742.667-80,NO,16.25
081020_E001T_15.txt,081020_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,NO,4.25
081020_E001T_16.txt,081020_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO,23.75
081020_E001T_17.txt,081020_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO,8.5
081020_E001T_18.txt,081020_B001,55,Pressure,10,60,60,0.25,0,WT,55,Step,10,10,742.667-80,NO,5.5
081020_E001T_19.txt,081020_B001,212.5,Pressure,10,60,60,0.625,0,WT,212.5,Step,10,10,742.667-80,NO,21.25
081020_E001T_2.txt,081020_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,NO,2.25
081020_E001T_20.txt,081020_B001,37.5,Pressure,10,60,60,0.125,0,WT,37.5,Step,10,10,742.667-80,NO,3.75
081020_E001T_3.txt,081020_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,NO,13.75
081020_E001T_4.txt,081020_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,NO,6.5
081020_E001T_5-2.txt,081020_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO,0.3125
081020_E001T_6.txt,081020_B001,27.5,Pressure,10,60,60,0.125,0,WT,27.5,Step,10,10,742.667-80,NO,2.75
081020_E001T_7.txt,081020_B001,75,Pressure,10,60,60,0.25,0,WT,75,Step,10,10,742.667-80,NO,7.5
081020_E001T_8.txt,081020_B001,95,Pressure,10,60,60,0.25,0,WT,95,Step,10,10,742.667-80,NO,9.5
081020_E001T_9.txt,081020_B001,47.5,Pressure,10,60,60,0.125,0,WT,47.5,Step,10,10,742.667-80,NO,4.75
161020_E001T_1-2.txt,161020_B001,7.5,Pressure,10,60,60,0.125,0,WT,7.5,Step,10,10,742.667-80,NO,0.75
161020_E001T_10.txt,161020_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO,3.25
161020_E001T_11.txt,161020_B001,47.5,Pressure,10,60,60,0.125,0,WT,47.5,Step,10,10,742.667-80,NO,4.75
161020_E001T_12-3.txt,161020_B001,95,Pressure,10,60,60,0.25,0,WT,95,Step,10,10,742.667-80,NO,9.5
161020_E001T_13.txt,161020_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,NO,2.25
161020_E001T_14.txt,161020_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO,0.3125
161020_E001T_15.txt,161020_B001,37.5,Pressure,10,60,60,0.125,0,WT,37.5,Step,10,10,742.667-80,NO,3.75
161020_E001T_16.txt,161020_B001,212.5,Pressure,10,60,60,0.625,0,WT,212.5,Step,10,10,742.667-80,NO,21.25
161020_E001T_17.txt,161020_B001,187.5,Pressure,10,60,60,0.625,0,WT,187.5,Step,10,10,742.667-80,NO,18.75
161020_E001T_18.txt,161020_B001,17.5,Pressure,10,60,60,0.125,0,WT,17.5,Step,10,10,742.667-80,NO,1.75
161020_E001T_19.txt,161020_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,NO,13.75
161020_E001T_2.txt,161020_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO,23.75
161020_E001T_20.txt,161020_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,NO,1.25
161020_E001T_3.txt,161020_B001,27.5,Pressure,10,60,60,0.125,0,WT,27.5,Step,10,10,742.667-80,NO,2.75
161020_E001T_4.txt,161020_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,NO,6.5
161020_E001T_5.txt,161020_B001,162.5,Pressure,10,60,60,0.625,0,WT,162.5,Step,10,10,742.667-80,NO,16.25
161020_E001T_6-2.txt,161020_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,NO,4.25
161020_E001T_7.txt,161020_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO,8.5
161020_E001T_8.txt,161020_B001,75,Pressure,10,60,60,0.25,0,WT,75,Step,10,10,742.667-80,NO,7.5
161020_E001T_9.txt,161020_B001,55,Pressure,10,60,60,0.25,0,WT,55,Step,10,10,742.667-80,NO,5.5
